"Keyword","Score"
"zoe","0.529993363939"
"ira","0.195202373884"
"likes","0.193018400926"
"people","0.191638496796"
"republicans","0.182947040478"
"bobby","0.144939322658"
"tom","0.122336275471"
"groups","0.11428549747"
"somalis","0.112440351345"
"cloud","0.106020378324"
"rob","0.105811118824"
"saying","0.096474054934"
"muslim","0.0957003352301"
"right","0.093609428479"
"ron","0.0901013544133"
"refugees","0.0893526616625"
"start","0.0890314311348"
"guy","0.0876106930003"
"party","0.0836039309379"
"thing","0.0812752028261"
"feel","0.0760703658491"
"immigrant populations","0.0734503837463"
"big","0.0712941336921"
"trump","0.0693075772482"
"little","0.0692390191343"
"time","0.0673719680698"
"ayan","0.0652524300484"
"governed","0.0646124203242"
"going","0.0645118752083"
"americans","0.0625903321821"
"new","0.0616861975872"
"state","0.0613005810995"
"ways","0.0596743603125"
"sharia","0.0549019365497"
"minnesota","0.0543754227245"
"donald","0.0526949763031"
"actually","0.0505560131543"
"avik","0.0489058256511"
"voters","0.0479294145675"
"america","0.0479067550216"
"come","0.0473575571942"
"issues","0.0468398312414"
"room","0.0466552337701"
"schools","0.0458944659765"
"candidates","0.0454642249438"
"year","0.0450126903037"
"areas","0.0449906603967"
"local","0.0447676313773"
"programs","0.0446778162103"
"today","0.0436275631938"
"musical","0.0429594359889"
"countries","0.0417398720505"
"john","0.0417256449816"
"talked","0.0393470463969"
"act","0.0381015254932"
"speakers","0.0375499027564"
"economically","0.0373080569533"
"ask","0.0369155021276"
"trying","0.0366629339999"
"peter","0.036622827436"
"branstner","0.0365085085633"
"mean","0.0359418521378"
"informal","0.0357844395213"
"emmer","0.0352520903569"
"know","0.0352486787862"
"thinks","0.0352330550081"
"chacethe","0.0350762761357"
"runs","0.0349640003166"
"precarious wanting","0.0347032053012"
"went","0.0342826966588"
"thank","0.0341650068083"
"days","0.0341016561524"
"work","0.0340696957955"
"looking","0.0340564955388"
"night","0.0337275791911"
"disaffected whites","0.0335887385219"
"social","0.0334924520767"
"laws","0.0330236205693"
"pretty","0.0326327040727"
"got knocked","0.0319965930101"
"mark","0.0319905500997"
"reagan","0.031765868626"
"david","0.0310310359385"
"basic","0.0307050050048"
"neil","0.0305616790708"
"game changing nominee","0.0304850961575"
"attacked","0.0303880206208"
"getting","0.030271143293"
"cutting","0.0301584966877"
"security","0.029908703117"
"radio","0.0298395430628"
"great","0.0296939645868"
"yes","0.0290262485572"
