"Keyword","Score"
"is","19.52334","345"
"st paul","8.75154","2"
"many people","8.49469","2"
"'s people","7.79437","1"
"fellow republicans","6.37208","1"
"central minnesota tea party","6.27005","1"
"do","4.95767","112"
"somali muslim refugee american","4.71550","1"
"muslim countries","4.64252","1"
"whole thing","4.58857","1"
"st","4.37577","21"
"was","4.29426","91"
"people","4.24734","89"
"chacethe person","4.24734","1"
"talk radio","4.22457","1"
"say","4.12389","72"
"'s","3.89719","143"
"months zoe 's","3.89719","1"
"tell trump","3.86296","1"
"going","3.77785","67"
"cloud times","3.77252","2"
"have","3.76455","86"
"cloud group","3.67150","3"
"three years ago","3.61501","4"
"party guy","3.56171","5"
"chaceyou 're","3.55450","1"
"demographic changes","3.29049","1"
"immigration works.ron branstnerthere","3.19813","1"
"republican primary votes","3.18604","1"
"party","3.13502","54"
"comfortable with.zoe chacethe local republican party","3.13502","1"
"main issue","3.06868","1"
"joke.i want","3.06317","1"
"st cloud/act","2.91718","2"
"immigrant populations","2.85644","1"
"america.zoe chacesome people","2.83156","1"
"spit take","2.78637","1"
"breather.tom emmerhere 's","2.59812","1"
"town halls emmer","2.58035","1"
"interfaith dialogue meeting","2.42166","1"
"large somali population","2.35775","1"
"balanced budget feels","2.33346","1"
"getting","2.31440","43"
"own way","2.30225","1"
"things","2.29428","35"
"awkward thing","2.29428","1"
"different part","2.26688","1"
"repeat speakers","2.20933","1"
"sharia","2.20189","14"
"downtown st","2.18789","2"
"zoe chacethis","2.13132","2"
"act for america","2.12478","2"
"few people","2.12367","1"
"talk","2.11229","34"
"bobby benson","2.10759","4"
"religious law","2.10285","1"
"two-hour call","2.09724","1"
"coming","2.09631","30"
"party is.rob longit","2.09002","1"
"state department","2.03004","1"
"animates republican voters","1.99206","1"
"reluctant trump supporter","1.93148","1"
"muslim refugees","1.89250","2"
"refugees","1.89250","22"
"long time residents","1.88626","1"
"times","1.88626","24"
"st joseph","1.86294","3"
"republican groups","1.83575","1"
"group","1.83575","31"
"tom emmerthey 're","1.83470","1"
"the last year","1.80750","1"
"monolithic place","1.80475","1"
"government contracts","1.79556","1"
"political guy","1.78086","1"
"guy","1.78086","26"
"'re","1.77725","50"
"church floor","1.76361","1"
"the st","1.75031","1"
"know","1.73982","43"
"dearborn city council","1.73884","1"
"donald trump 's","1.72108","3"
"long run","1.70566","2"
"today","1.68994","8"
"paul ryan","1.68610","9"
"whole point","1.67697","1"
"same message","1.65372","1"
"change week","1.64525","1"
"changes","1.64525","16"
"right thing","1.63806","1"
"minnesota border.ron branstnerso","1.63612","1"
"crazy ignorant idea","1.62465","1"
"federal program","1.60461","1"
"think","1.60343","36"
"the public radio exchange","1.60193","1"
"immigration","1.59906","18"
"sunk.ira glassso immigration","1.59906","1"
"peteri 've","1.59481","1"
"idealistic republican friends","1.59302","1"
"old school","1.57871","2"
"somali leaders","1.57183","1"
"big band","1.56775","1"
"issue tonight.manmr","1.53434","1"
"issue","1.53434","19"
"want","1.53159","44"
"united states","1.52949","9"
"next day","1.51751","1"
"republican means","1.51584","1"
"more stories","1.50837","1"
"conservative ideals","1.48498","2"
"st cloud.caroland","1.46127","2"
"'re tax money","1.45966","1"
"cost st","1.45859","1"
"little group","1.45813","1"
"immigrants","1.42822","16"
"somali immigrants","1.42822","1"
"heavy-hearted week","1.41991","1"
"told","1.41769","27"
"spot people","1.41578","1"
"speak english","1.41425","1"
"play area","1.41359","1"
"whole big new group","1.39491","1"
"take","1.39318","20"
"the beginning of the show","1.37132","1"
"somali kids","1.35987","1"
"him.bobby bensonthis woman","1.35948","1"
"see","1.33311","20"
"monday night","1.32549","2"
"matt westland","1.32383","2"
"perry","1.31522","4"
"try","1.30807","17"
"that.zoe chaceanti-refugee resettlement feeling.carolwhen","1.30335","1"
"mitt romney","1.29878","4"
"lot more somalis","1.29303","1"
"town hall meeting","1.29017","1"
"town","1.29017","16"
"trump","1.28765","10"
"tom emmerand","1.28019","4"
"republican primaries","1.27442","1"
"somali muslim refugee","1.26167","1"
"zoe chaceevery time","1.25751","1"
"the tea party","1.25401","1"
"exhausting.zoe chacein st","1.25022","1"
"old republican stuff","1.24998","1"
"trump campaign","1.23584","1"
"cut medicare","1.22853","1"
"policy adviser","1.21697","1"
"great people","1.21353","1"
"meetings","1.21083","12"
"years","1.20500","1"
"good information.then","1.20049","1"
"afternoon.zoe chacecongressman emmer","1.19106","1"
"ricochet guys","1.18724","2"
"anti-muslim information sources","1.18658","1"
"sexual assault.the wall street journal","1.18570","1"
"fast.carol feels","1.16673","1"
"feels","1.16673","22"
"muslims here.somali manif","1.16063","1"
"islamic center","1.15356","2"
"line.rob longi 'm","1.15140","1"
"way","1.15112","27"
"a better way","1.15112","2"
"same thing","1.14714","2"
"part","1.13344","8"
"jeffrey baum","1.13247","2"
"september","1.13145","1"
"prx","1.11044","1"
"american life","1.10560","4"
"has","1.10488","24"
"reince priebus.john ellison conleethe speaker","1.10466","1"
"speaker","1.10466","10"
"sharia is.zoe chacethese poll numbers","1.10094","1"
"minnesota republican worrier","1.09075","1"
"paul","1.08616","8"
"social security privatization","1.07897","1"
"giovanni peri","1.07879","2"
"fox news","1.07167","2"
"legal immigration","1.06604","2"
"zoe chacesay","1.06566","1"
"america","1.06239","6"
"white people","1.06184","2"
"bobby","1.05380","17"
"man-made laws","1.05142","1"
"law","1.05142","12"
"called","1.04862","18"
"fun party","1.04501","1"
"cloud taxpayers","1.03935","1"
"the end of the night","1.03538","1"
"producer zoe chace","1.02324","1"
"other issue","1.02289","1"
"state government","1.01502","1"
"spend","1.00906","6"
"way.ira glassneil patrick harris","1.00515","1"
"somali community","1.00301","1"
"reince priebus","1.00195","7"
"voters","0.99603","13"
"trump voters","0.99603","1"
"emergency room","0.99028","1"
"different problem","0.97712","1"
"better sense","0.97707","1"
"david kestenbaum","0.97342","2"
"mark leibovich","0.97301","2"
"st cloud.tom emmerand","0.97239","1"
"it.zoe chaceof course","0.96948","1"
"first","0.95778","6"
"assimilated.zoe chacei","0.95634","1"
"hear","0.95278","20"
"new immigrants","0.95215","3"
"bad information","0.94905","2"
"blog refugee resettlement","0.94625","1"
"other people","0.94385","1"
"describe donald trump","0.94378","1"
"the new york times","0.94313","1"
"somalis","0.94310","30"
"st joseph 's","0.93147","1"
"joseph","0.93147","2"
"crossroads mall","0.92945","3"
"aberdeen","0.92250","5"
"group peace","0.91787","1"
"things branstner","0.91771","1"
"tom","0.91735","13"
"tom emmer","0.91735","11"
"the republican national convention","0.91030","1"
"last year","0.90375","1"
"place","0.90238","15"
"first place","0.90238","1"
"government","0.89778","8"
"white cloud","0.89648","2"
"country tanks.you","0.89635","1"
"country","0.89635","12"
"whole party","0.89572","1"
"racist.zoe chacethat guy","0.89043","1"
"english","0.88511","4"
"church","0.88180","3"
"american cities","0.86942","1"
"city","0.86942","13"
"marco rubio","0.86795","6"
"looking","0.86481","16"
"donald","0.86054","1"
"town hall","0.86012","2"
"this american","0.85654","1"
"south dakota","0.85565","6"
"quran","0.85526","5"
"short run","0.85283","1"
"run","0.85283","13"
"john ellison conlee","0.85151","1"
"believe","0.85083","8"
"big person","0.84947","1"
"house leader paul ryan","0.84305","1"
"sarah koenig","0.84196","2"
"whole picnic","0.83849","1"
"miki meek","0.83510","2"
"majority catholic","0.83419","1"
"multiple wives","0.83387","2"
"pleasant face","0.83370","1"
"congressional race","0.83145","1"
"cindy kent","0.83139","2"
"succinctly.bobby bensoni","0.82694","1"
"same streets","0.82686","1"
"country.zoe chacethat","0.82594","1"
"older crowd","0.82514","1"
"sue ek","0.82285","2"
"ask","0.81983","13"
"carolina.donald trump25","0.81947","1"
"right","0.81903","6"
"robert lopez","0.81825","2"
"minnesota","0.81806","15"
"super regular job","0.81590","1"
"ideas","0.81233","8"
"muslim ban idea","0.81233","1"
"fear.zoe chacehe","0.80856","1"
"city council meeting","0.80722","1"
"anti-immigration feelings","0.80709","1"
"program","0.80231","11"
"justin levine.our program","0.80231","1"
"ira glass","0.80151","3"
"public radio","0.80096","1"
"public","0.80096","3"
"illegal immigration","0.79953","1"
"stephen merritt.our website","0.79857","1"
"'ve","0.79740","14"
"other side","0.79459","1"
"aj kern 's","0.79161","1"
"school spirit","0.78935","1"
"school","0.78935","10"
"too.the reason somalis","0.78592","1"
"big moment","0.78387","1"
"tea party","0.78376","1"
"muslim brotherhood plan","0.77375","1"
"200-odd people","0.77224","1"
"best friend","0.76878","1"
"friend","0.76878","10"
"angry couple","0.76807","1"
"presidential candidates","0.76803","1"
"zoe chacethe way","0.76742","1"
"biggest issue","0.76717","1"
"matt tierney","0.76661","2"
"role model","0.76498","1"
"simple things","0.76476","1"
"united","0.76475","10"
"manthe whole united states","0.76475","1"
"islam","0.76344","3"
"state.zoe chaceron branstner","0.75897","1"
"day","0.75875","10"
"the next day","0.75875","1"
"mean","0.75792","15"
"refugee camps","0.75700","1"
"nancy updike","0.75662","2"
"new york times","0.75450","1"
"ayan omarto","0.75431","1"
"broadway composer michael friedman","0.75312","1"
"carol","0.74619","2"
"mother","0.74607","3"
"ideals","0.74249","4"
"traditional republican ideals","0.74249","1"
"safe room.ira glasszoe","0.74127","1"
"fourth mosque","0.74115","1"
"tragic figures","0.73851","2"
"head","0.73410","10"
"sharia anywhere.al novstrupyou","0.73396","1"
"upsetting story","0.73107","1"
"stories","0.73107","8"
"cloud.caroland","0.73064","2"
"money","0.72983","6"
"little ball","0.72906","1"
"little","0.72906","1"
"vote","0.72846","9"
"public radio stations","0.72762","1"
"points","0.72509","9"
"it.ira glassfrom wbez chicago","0.72480","1"
"this year","0.72300","10"
"linda radin","0.71719","2"
"muslim immigrants","0.71411","3"
"next question","0.71306","1"
"local guy","0.71234","1"
"strong views","0.71107","1"
"time.ira glassand","0.71103","1"
"zoe","0.71044","5"
"week","0.70996","8"
"last week","0.70996","2"
"anything spicy","0.70863","1"
"america chapter","0.70826","1"
"republican candidates","0.70801","1"
"most people","0.70789","1"
"speaking","0.70712","9"
"cloud area","0.70679","1"
"area","0.70679","11"
"more fossil fuels","0.70421","1"
"kevin genachowski","0.70341","2"
"kathleen virnig","0.70290","2"
"bobby bensonbecause","0.70253","2"
"southern poverty law center","0.70095","1"
"new","0.69745","1"
"the county republican party","0.69667","1"
"roy","0.69477","1"
"full audio","0.69434","1"
"deep concern","0.69413","1"
"musical direction","0.69002","1"
"act","0.68941","11"
"awful act","0.68941","1"
"radio","0.68713","4"
"show","0.68566","7"
"jonathan menjivar","0.68403","2"
"grassroots events","0.68227","1"
"kalia abiade","0.68126","2"
"white kids","0.67994","1"
"kids","0.67994","11"
"crying.zoe chacethe african woman","0.67974","1"
"woman","0.67974","11"
"ayan omar","0.67947","4"
"the state department","0.67668","1"
"someone","0.67398","5"
"somali residents","0.67364","1"
"the washington post","0.67358","1"
"robyn semien","0.67273","2"
"government services","0.66884","1"
"republican voters","0.66402","3"
"somali muslim","0.66322","1"
"night","0.66275","7"
"matt","0.66192","2"
"old emails","0.66162","1"
"natalie ringsmuth","0.65896","2"
"thing.ayan omarmy name","0.65765","1"
"rick perry","0.65761","10"
"bloody andrew jackson","0.65736","1"
"surprising things","0.65551","1"
"central minnesota","0.65445","4"
"reasonable people","0.65344","1"
"cost","0.65321","9"
"ricochet","0.65175","5"
"resettlement","0.65168","5"
"jody avrigan","0.64986","2"
"romney","0.64939","2"
"awful lot","0.64652","1"
"lots","0.64652","19"
"short period","0.64596","1"
"little towns","0.64509","1"
"trump rallies","0.64383","1"
"interview","0.64261","4"
"grabbing genitals","0.64202","1"
"met","0.64104","7"
"emmerand","0.64010","3"
"immigration stuff","0.63963","1"
"republican nominee","0.63721","1"
"kristen anderson-lopez","0.63652","2"
"economic consensus","0.63571","1"
"somali boy","0.63526","3"
"refugee resettlement","0.63083","2"
"avik roy","0.62934","8"
"time line.carolok","0.62875","1"
"the central minnesota tea party","0.62700","1"
"traditional republican stuff","0.62499","1"
"stuff","0.62499","7"
"zoe.zoe chaceand","0.62431","1"
"haji yussef","0.62259","2"
"front lines","0.62107","1"
"little granddaughter","0.61933","3"
"like","0.61888","11"
"campaign","0.61792","5"
"next campaign","0.61792","1"
"beer.scotti know.zoe chacebobby","0.61766","1"
"mark sizer","0.61536","2"
"cut","0.61427","7"
"emotional issue","0.61374","1"
"entitlement reform","0.61271","1"
"read.al novstrupyou","0.61220","1"
"new group","0.61192","1"
"human transcribers","0.61173","1"
"tom emmeri 'm","0.61157","1"
"policy","0.60849","8"
"policy nerd","0.60849","1"
"good people","0.60676","4"
"whole meeting","0.60541","1"
"hotel ballroom","0.60510","2"
"same place","0.60158","1"
"good role model","0.60024","1"
"found","0.59992","10"
"xeroxed handouts","0.59573","1"
"know.zoe chacecongressman emmer","0.59553","1"
"information","0.59329","7"
"wall","0.59285","8"
"saw","0.59114","4"
"damian graf.special thanks","0.59107","1"
"robert costa","0.59093","2"
"west germany","0.59047","2"
"hillsdale college","0.59025","2"
"normal behavior","0.58705","1"
"different non-profits","0.58617","1"
"jo sorensen","0.58336","1"
